question,correct_answer,wrong_answers
Какой город является столицей Франции?,Париж,"['Лондон', 'Берлин', 'Мадрид']"
Какое животное можно найти на австралийском флаге?,Кенгуру,"['Коала', 'Ехидна', 'Волк']"
Какой химический элемент обозначается как 'Fe'?,Железо,"['Золото', 'Медь', 'Серебро']"
Какая планета ближе всего к Солнцу?,Меркурий,"['Венера', 'Земля', 'Марс']"
Какой океан самый большой?,Тихий океан,"['Атлантический', 'Индийский', 'Северный Ледовитый']"
Какой цвет получается при смешивании синего и желтого?,Зеленый,"['Красный', 'Фиолетовый', 'Оранжевый']"
Какая страна известна своими пингвинами?,Антарктида,"['Аргентина', 'Канада', 'Япония']"
Какой год считается годом основания Москвы?,1147,"['1204', '1328', '1480']"
Какой элемент периодической таблицы обозначается как 'H'?,Водород,"['Кислород', 'Углерод', 'Азот']"
Какой континент самый большой по площади?,Азия,"['Африка', 'Северная Америка', 'Южная Америка']"
